2018-01-01,Murska Sobota,24.13
2018-01-02,Maribor,29.97
2018-01-04,Celje,25.27
2018-01-04,Murska Sobota,27.45
2018-01-07,Celje,25.31
2018-01-07,Kranj,22.06
2018-01-07,Maribor,23.01
2018-01-08,Ljubljana,27.22
2018-01-08,Maribor,26.29
2018-01-10,Koper,20.97
2018-01-10,Kranj,21.15
2018-01-11,Celje,24.86
2018-01-11,Koper,22.56
2018-01-14,Maribor,29.06
2018-01-14,Novo mesto,20.16
2018-01-16,Celje,25.78
2018-01-16,Ljubljana,26.65
2018-01-16,Novo mesto,25.09
2018-01-17,Celje,28.07
2018-01-17,Kranj,24.32
2018-01-17,Murska Sobota,26.22
2018-01-18,Ljubljana,23.45
2018-01-18,Maribor,27.97
2018-01-18,Novo mesto,26.95
2018-01-19,Ljubljana,24.35
2018-01-19,Maribor,25.06
2018-01-19,Murska Sobota,22.0
2018-01-19,Novo mesto,27.01
2018-01-20,Celje,20.0
2018-01-21,Kranj,23.06
2018-01-23,Maribor,21.38
2018-01-24,Maribor,27.73
2018-01-24,Novo mesto,20.93
2018-01-25,Celje,20.57
2018-01-27,Koper,22.46
2018-01-29,Murska Sobota,27.54
2018-01-30,Kranj,27.05
2018-01-31,Kranj,28.08
2018-01-31,Ljubljana,27.43
2018-02-02,Maribor,22.81
2018-02-02,Murska Sobota,22.88
2018-02-03,Ljubljana,24.95
2018-02-03,Maribor,20.19
2018-02-03,Murska Sobota,24.13
2018-02-04,Maribor,27.06
2018-02-06,Maribor,29.97
2018-02-07,Maribor,25.88
2018-02-08,Maribor,20.75
2018-02-09,Kranj,22.77
2018-02-09,Murska Sobota,24.44
2018-02-10,Ljubljana,28.45
2018-02-10,Maribor,24.37
2018-02-13,Celje,28.83
2018-02-13,Koper,24.78
2018-02-13,Ptuj,25
2018-02-14,Celje,25.13
2018-02-15,Ljubljana,26.04
2018-02-15,Maribor,28.77
2018-02-16,Celje,27.55
2018-02-16,Ljubljana,22.76
2018-02-16,Maribor,29.69
2018-02-17,Celje,26.4
2018-02-17,Koper,25.6
2018-02-18,Kranj,23.34
2018-02-19,Kranj,20.51
2018-02-20,Koper,24.17
2018-02-20,Kranj,26.09
2018-02-21,Celje,26.18
2018-02-22,Ljubljana,27.69
2018-02-26,Celje,28.63
2018-02-26,Koper,20.83
2018-02-26,Murska Sobota,29.64
2018-02-28,Maribor,28.97
2018-03-03,Kranj,28.03
2018-03-03,Maribor,29.29
2018-03-03,Murska Sobota,22.54
2018-03-06,Celje,26.96
2018-03-07,Celje,24.7
2018-03-07,Koper,22.3
2018-03-08,Celje,24.52
2018-03-08,Ljubljana,23.54
2018-03-09,Celje,24.59
2018-03-09,Ljubljana,28.53
2018-03-10,Koper,24.67
2018-03-12,Koper,25.69
2018-03-12,Kranj,25.86
2018-03-13,Maribor,29.49
2018-03-13,Novo mesto,24.12
2018-03-15,Murska Sobota,25.85
2018-03-16,Koper,27.21
2018-03-16,Maribor,24.29
2018-03-16,Murska Sobota,25.25
2018-03-18,Kranj,22.88
2018-03-18,Murska Sobota,27.33
2018-03-19,Ljubljana,24.7
